id,business_name,sector,lga,ward,street,annual_revenue,employee_count,registered
51,"Kline, Shepherd and Braun",Real Estate,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 8 Ward 4 Ifako-Ijaiye,48991972,229,False
52,Jimenez Ltd,Hospitality,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,475558264,299,True
53,Garrett LLC,Retail,Surulere,Ward 3 Surulere,Street 9 Ward 3 Surulere,70041992,405,False
54,Richardson Group,Retail,Kosofe,Ward 5 Kosofe,Street 9 Ward 5 Kosofe,26413816,341,True
55,Anderson Inc,Hospitality,Victoria Island,Ward 5 Victoria Island,Street 5 Ward 5 Victoria Island,264150720,51,False
56,"Turner, Monroe and Zhang",Finance,Apapa,Ward 1 Apapa,Street 3 Ward 1 Apapa,284101667,331,False
57,"Brown, Moss and Norris",Tech,Epe,Ward 2 Epe,Street 2 Ward 2 Epe,267404194,121,True
58,Morris-Fuller,Finance,Mushin,Ward 3 Mushin,Street 2 Ward 3 Mushin,190046731,166,True
59,Matthews and Sons,Hospitality,Victoria Island,Ward 5 Victoria Island,Street 10 Ward 5 Victoria Island,379220522,162,True
60,Mills-Riley,Hospitality,Mushin,Ward 3 Mushin,Street 7 Ward 3 Mushin,346502749,327,False
61,Mendoza-Porter,Finance,Shomolu,Ward 4 Shomolu,Street 4 Ward 4 Shomolu,219335782,70,True
62,Reyes-Warner,Transport,Ikorodu,Ward 3 Ikorodu,Street 6 Ward 3 Ikorodu,76161928,338,False
63,"Wilson, Lam and Powell",Real Estate,Mushin,Ward 2 Mushin,Street 8 Ward 2 Mushin,271531742,395,False
64,Jones-Rasmussen,Real Estate,Badagry,Ward 3 Badagry,Street 2 Ward 3 Badagry,315995129,440,False
65,Dennis Group,Hospitality,Surulere,Ward 5 Surulere,Street 6 Ward 5 Surulere,225641709,271,True
66,King-Solis,Tech,Ikeja,Ward 4 Ikeja,Street 7 Ward 4 Ikeja,272789849,468,False
67,Macdonald-Lawrence,Finance,Ajah,Ward 5 Ajah,Street 9 Ward 5 Ajah,44300526,314,True
68,"Villanueva, Mcintyre and Andrews",Transport,Surulere,Ward 4 Surulere,Street 2 Ward 4 Surulere,297888010,283,False
69,Cannon-Petty,Retail,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 10 Ward 5 Oshodi-Isolo,100507923,356,False
70,Williams LLC,Real Estate,Victoria Island,Ward 2 Victoria Island,Street 6 Ward 2 Victoria Island,87113975,183,False
71,Stephens PLC,Real Estate,Ikeja,Ward 5 Ikeja,Street 1 Ward 5 Ikeja,64559868,255,False
72,Todd-Wilson,Finance,Apapa,Ward 5 Apapa,Street 2 Ward 5 Apapa,293035476,418,True
73,"Brown, Lee and Ayers",Real Estate,Eti-Osa,Ward 2 Eti-Osa,Street 4 Ward 2 Eti-Osa,188300051,409,True
74,"Delgado, Marshall and Boyd",Retail,Somolu,Ward 3 Somolu,Street 1 Ward 3 Somolu,100735025,465,False
75,"Meyer, Edwards and Ross",Real Estate,Mushin,Ward 2 Mushin,Street 10 Ward 2 Mushin,457266012,242,True
76,"Ferguson, Crane and Spence",Retail,Alimosho,Ward 3 Alimosho,Street 2 Ward 3 Alimosho,169445556,133,True
77,Baker LLC,Real Estate,Shomolu,Ward 3 Shomolu,Street 8 Ward 3 Shomolu,319499526,393,True
78,"Decker, Martinez and Murphy",Tech,Epe,Ward 1 Epe,Street 3 Ward 1 Epe,33204052,184,False
79,Leonard-Braun,Finance,Lekki,Ward 3 Lekki,Street 7 Ward 3 Lekki,9861801,21,True
80,Robles-Jones,Hospitality,Mushin,Ward 2 Mushin,Street 10 Ward 2 Mushin,376219502,387,True
81,"Barton, Foley and Phillips",Real Estate,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 10 Ward 2 Amuwo-Odofin,438518319,254,True
82,"James, Bailey and Hendricks",Tech,Eti-Osa,Ward 1 Eti-Osa,Street 7 Ward 1 Eti-Osa,356043446,401,True
83,Martin-Bailey,Tech,Yaba,Ward 5 Yaba,Street 3 Ward 5 Yaba,267766592,299,True
84,Kennedy-Brown,Hospitality,Ajah,Ward 4 Ajah,Street 5 Ward 4 Ajah,157710510,207,False
85,Benton LLC,Transport,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 9 Ward 3 Ifako-Ijaiye,405844943,295,True
86,Smith-Colon,Retail,Ikeja,Ward 3 Ikeja,Street 8 Ward 3 Ikeja,45680415,432,False
87,"Davis, Stark and Meyers",Transport,Surulere,Ward 2 Surulere,Street 2 Ward 2 Surulere,437113216,136,False
88,"Willis, Burke and Bender",Real Estate,Lekki,Ward 2 Lekki,Street 6 Ward 2 Lekki,417425162,161,True
89,"Brown, Walter and Zimmerman",Transport,Agege,Ward 5 Agege,Street 3 Ward 5 Agege,116159823,358,True
90,Smith-Martin,Real Estate,Eti-Osa,Ward 3 Eti-Osa,Street 2 Ward 3 Eti-Osa,338083541,440,False
91,Ford-Montgomery,Transport,Mushin,Ward 3 Mushin,Street 3 Ward 3 Mushin,41148089,130,False
92,"Hendrix, Johnson and Reid",Manufacturing,Yaba,Ward 1 Yaba,Street 1 Ward 1 Yaba,376221388,403,True
93,"Hopkins, Martinez and Wilson",Tech,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 1 Ward 1 Amuwo-Odofin,489807173,158,False
94,"Whitaker, Williams and Salinas",Real Estate,Mushin,Ward 4 Mushin,Street 4 Ward 4 Mushin,372042228,40,False
95,Conley Inc,Real Estate,Somolu,Ward 3 Somolu,Street 3 Ward 3 Somolu,420837608,131,False
96,"Oneal, Crawford and Stewart",Finance,Somolu,Ward 1 Somolu,Street 4 Ward 1 Somolu,471550450,347,False
97,Hall Inc,Hospitality,Epe,Ward 5 Epe,Street 10 Ward 5 Epe,364283069,496,True
98,Henderson-Stephens,Tech,Kosofe,Ward 1 Kosofe,Street 5 Ward 1 Kosofe,28072103,467,True
99,"Alvarez, Castillo and Conley",Transport,Alimosho,Ward 1 Alimosho,Street 7 Ward 1 Alimosho,264834988,70,True
100,Fletcher Group,Tech,Yaba,Ward 2 Yaba,Street 6 Ward 2 Yaba,261913215,129,True
101,Young-Finley,Retail,Ikorodu,Ward 1 Ikorodu,Street 7 Ward 1 Ikorodu,495292701,438,False
102,"Stephens, Cohen and Black",Retail,Ikorodu,Ward 2 Ikorodu,Street 4 Ward 2 Ikorodu,277599236,496,False
103,Hopkins LLC,Retail,Ajah,Ward 5 Ajah,Street 10 Ward 5 Ajah,151485431,18,True
104,Long-Sanders,Hospitality,Epe,Ward 2 Epe,Street 2 Ward 2 Epe,175063725,176,False
105,Rush-Mcbride,Hospitality,Alimosho,Ward 1 Alimosho,Street 7 Ward 1 Alimosho,274687345,139,True
106,"Lawrence, Hernandez and Schmidt",Finance,Victoria Island,Ward 5 Victoria Island,Street 1 Ward 5 Victoria Island,415533033,60,False
107,Morgan Group,Hospitality,Alimosho,Ward 1 Alimosho,Street 2 Ward 1 Alimosho,391382612,235,True
108,Moon-James,Hospitality,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 4 Ward 5 Oshodi-Isolo,252119204,213,True
109,Combs Inc,Retail,Yaba,Ward 4 Yaba,Street 4 Ward 4 Yaba,177168693,182,True
110,"Hancock, Dunn and Lyons",Transport,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,435596310,7,True
111,Munoz Ltd,Manufacturing,Eti-Osa,Ward 5 Eti-Osa,Street 5 Ward 5 Eti-Osa,453172699,453,True
112,Love-Barrett,Manufacturing,Somolu,Ward 4 Somolu,Street 6 Ward 4 Somolu,70947710,386,False
113,"Ortiz, Wilson and Smith",Finance,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 9 Ward 1 Amuwo-Odofin,195127279,52,False
114,Anderson-Williams,Manufacturing,Apapa,Ward 4 Apapa,Street 6 Ward 4 Apapa,429852131,343,True
115,Chambers LLC,Hospitality,Ikeja,Ward 3 Ikeja,Street 7 Ward 3 Ikeja,479493189,303,False
116,Morgan-Baldwin,Hospitality,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 7 Ward 4 Oshodi-Isolo,313793476,423,False
117,Floyd-Ingram,Real Estate,Agege,Ward 2 Agege,Street 1 Ward 2 Agege,482783263,116,True
118,Fox PLC,Tech,Victoria Island,Ward 5 Victoria Island,Street 3 Ward 5 Victoria Island,365976313,103,True
119,"Arnold, Jones and Roman",Real Estate,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 10 Ward 4 Ifako-Ijaiye,39914181,55,False
120,"Martin, Valdez and Kim",Real Estate,Ikorodu,Ward 5 Ikorodu,Street 8 Ward 5 Ikorodu,439893063,325,True
121,Manning PLC,Finance,Surulere,Ward 4 Surulere,Street 2 Ward 4 Surulere,78787674,352,True
122,Kelly Ltd,Transport,Eti-Osa,Ward 1 Eti-Osa,Street 9 Ward 1 Eti-Osa,186008169,469,False
123,Morales and Sons,Hospitality,Surulere,Ward 4 Surulere,Street 10 Ward 4 Surulere,255218864,341,True
124,Molina PLC,Tech,Mushin,Ward 2 Mushin,Street 5 Ward 2 Mushin,426714100,282,True
125,Cervantes Group,Manufacturing,Ikorodu,Ward 4 Ikorodu,Street 5 Ward 4 Ikorodu,396845078,376,False
126,Rojas Group,Transport,Badagry,Ward 5 Badagry,Street 4 Ward 5 Badagry,260584362,390,True
127,Nicholson Ltd,Real Estate,Ikorodu,Ward 3 Ikorodu,Street 3 Ward 3 Ikorodu,200251555,405,True
128,Summers-Hinton,Hospitality,Agege,Ward 2 Agege,Street 9 Ward 2 Agege,266715362,195,True
129,Walters-Roy,Real Estate,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,432719460,162,False
130,Mendez PLC,Real Estate,Ikeja,Ward 2 Ikeja,Street 1 Ward 2 Ikeja,269049449,295,True
131,Jimenez-Pitts,Finance,Somolu,Ward 4 Somolu,Street 5 Ward 4 Somolu,452446078,279,False
132,Castro Inc,Tech,Badagry,Ward 2 Badagry,Street 3 Ward 2 Badagry,179225877,59,False
133,Martinez-Holmes,Hospitality,Eti-Osa,Ward 3 Eti-Osa,Street 6 Ward 3 Eti-Osa,207572052,458,True
134,"Lamb, Robinson and Johnson",Retail,Kosofe,Ward 5 Kosofe,Street 8 Ward 5 Kosofe,124592536,202,False
135,"Matthews, Nunez and Powers",Tech,Surulere,Ward 4 Surulere,Street 1 Ward 4 Surulere,361372849,399,False
136,Peterson-Moran,Manufacturing,Apapa,Ward 2 Apapa,Street 6 Ward 2 Apapa,261027607,417,False
137,Higgins-Sullivan,Hospitality,Epe,Ward 3 Epe,Street 4 Ward 3 Epe,275819836,272,False
138,Anderson-Williams,Finance,Ikeja,Ward 2 Ikeja,Street 9 Ward 2 Ikeja,334002746,485,True
139,"Mcknight, Williams and Simon",Manufacturing,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,408343103,401,False
140,Medina Ltd,Retail,Somolu,Ward 4 Somolu,Street 4 Ward 4 Somolu,297400824,461,True
141,Smith Inc,Retail,Mushin,Ward 3 Mushin,Street 7 Ward 3 Mushin,460253914,283,False
142,Rodriguez-Gardner,Manufacturing,Epe,Ward 2 Epe,Street 5 Ward 2 Epe,237994865,175,False
143,"Vaughan, Lewis and Little",Tech,Eti-Osa,Ward 4 Eti-Osa,Street 2 Ward 4 Eti-Osa,276202973,347,True
144,"Pierce, Castro and Wheeler",Tech,Lekki,Ward 2 Lekki,Street 4 Ward 2 Lekki,117347918,128,False
145,Miller Inc,Finance,Surulere,Ward 3 Surulere,Street 3 Ward 3 Surulere,244643952,488,False
146,Williams and Sons,Real Estate,Apapa,Ward 1 Apapa,Street 9 Ward 1 Apapa,95898939,113,False
147,Lee LLC,Manufacturing,Badagry,Ward 4 Badagry,Street 3 Ward 4 Badagry,157530202,72,False
148,"Luna, Martinez and Wagner",Hospitality,Badagry,Ward 4 Badagry,Street 2 Ward 4 Badagry,125546827,279,False
149,"Lee, Phelps and Carter",Finance,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 8 Ward 2 Amuwo-Odofin,211007261,65,False
150,White-Jackson,Hospitality,Victoria Island,Ward 5 Victoria Island,Street 6 Ward 5 Victoria Island,481582792,42,False
151,Robinson-Whitaker,Real Estate,Yaba,Ward 2 Yaba,Street 5 Ward 2 Yaba,487341647,329,True
152,"Stanton, Nguyen and Kim",Hospitality,Ikorodu,Ward 1 Ikorodu,Street 1 Ward 1 Ikorodu,289963394,107,False
153,Kim-Greene,Retail,Yaba,Ward 1 Yaba,Street 1 Ward 1 Yaba,265457706,198,True
154,Woods-Ramirez,Finance,Apapa,Ward 5 Apapa,Street 5 Ward 5 Apapa,468026388,469,True
155,Marks LLC,Tech,Apapa,Ward 4 Apapa,Street 10 Ward 4 Apapa,460038720,379,False
156,"Adams, Allen and Smith",Tech,Victoria Island,Ward 4 Victoria Island,Street 4 Ward 4 Victoria Island,245827646,273,True
157,Johnson and Sons,Real Estate,Ajah,Ward 3 Ajah,Street 1 Ward 3 Ajah,149503579,105,False
158,Smith-Rojas,Hospitality,Yaba,Ward 5 Yaba,Street 2 Ward 5 Yaba,110469165,250,True
159,"Mccoy, Wilson and French",Transport,Yaba,Ward 3 Yaba,Street 3 Ward 3 Yaba,140512205,40,True
160,Weber-Estrada,Finance,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 7 Ward 5 Amuwo-Odofin,231014973,167,False
161,Hunter-Dickerson,Retail,Shomolu,Ward 2 Shomolu,Street 10 Ward 2 Shomolu,359841195,67,False
162,Walker-Mcfarland,Retail,Alimosho,Ward 3 Alimosho,Street 7 Ward 3 Alimosho,477847586,118,False
163,Roberts-Vaughn,Retail,Apapa,Ward 4 Apapa,Street 10 Ward 4 Apapa,379324658,30,True
164,Becker Group,Tech,Eti-Osa,Ward 3 Eti-Osa,Street 9 Ward 3 Eti-Osa,200228610,15,True
165,"Allen, Williams and Gutierrez",Manufacturing,Lekki,Ward 5 Lekki,Street 2 Ward 5 Lekki,406554206,393,False
166,Ellis-Hooper,Manufacturing,Alimosho,Ward 1 Alimosho,Street 6 Ward 1 Alimosho,423737025,170,True
167,"Collins, Tate and Bond",Manufacturing,Ajah,Ward 1 Ajah,Street 3 Ward 1 Ajah,79681233,236,False
168,Gaines-Adams,Transport,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 5 Ward 2 Amuwo-Odofin,51864981,69,True
169,"Harper, Greene and Shelton",Finance,Badagry,Ward 3 Badagry,Street 5 Ward 3 Badagry,477964250,281,True
170,Moore-Ortiz,Transport,Ikeja,Ward 3 Ikeja,Street 10 Ward 3 Ikeja,92693471,463,False
171,"Hicks, Larson and Benson",Transport,Epe,Ward 1 Epe,Street 10 Ward 1 Epe,418022799,96,False
172,Sandoval Inc,Retail,Eti-Osa,Ward 4 Eti-Osa,Street 7 Ward 4 Eti-Osa,396416511,485,False
173,"Bullock, Silva and Preston",Finance,Agege,Ward 3 Agege,Street 8 Ward 3 Agege,339722035,281,True
174,Rivera Inc,Transport,Victoria Island,Ward 5 Victoria Island,Street 7 Ward 5 Victoria Island,430299933,16,True
175,Hogan-Estrada,Tech,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 4 Ward 2 Ifako-Ijaiye,167271185,230,False
176,"Johnson, Bradford and Mckenzie",Transport,Ikeja,Ward 3 Ikeja,Street 4 Ward 3 Ikeja,387852480,324,True
177,Mendez-Rose,Transport,Ajah,Ward 2 Ajah,Street 2 Ward 2 Ajah,217854941,416,True
178,Cook and Sons,Transport,Ikeja,Ward 3 Ikeja,Street 5 Ward 3 Ikeja,398854679,419,True
179,Jones Group,Transport,Agege,Ward 1 Agege,Street 9 Ward 1 Agege,13177394,290,False
180,Nichols LLC,Hospitality,Badagry,Ward 4 Badagry,Street 4 Ward 4 Badagry,447501296,431,False
181,Yang-Hunter,Real Estate,Apapa,Ward 2 Apapa,Street 9 Ward 2 Apapa,286284267,354,False
182,"Pearson, Brown and Shields",Transport,Victoria Island,Ward 4 Victoria Island,Street 6 Ward 4 Victoria Island,360366741,122,True
183,"Henderson, Rodriguez and Buckley",Finance,Lekki,Ward 5 Lekki,Street 2 Ward 5 Lekki,222746426,86,False
184,Jimenez Inc,Manufacturing,Shomolu,Ward 4 Shomolu,Street 7 Ward 4 Shomolu,115857057,162,True
185,Osborne-Bradford,Tech,Alimosho,Ward 2 Alimosho,Street 6 Ward 2 Alimosho,125160156,264,True
186,Potter-Potter,Transport,Ikeja,Ward 4 Ikeja,Street 2 Ward 4 Ikeja,299879520,164,False
187,Johnston PLC,Transport,Ajah,Ward 3 Ajah,Street 7 Ward 3 Ajah,395597404,96,False
188,Joseph Inc,Real Estate,Victoria Island,Ward 1 Victoria Island,Street 5 Ward 1 Victoria Island,112173746,473,False
189,Roberts-Kim,Manufacturing,Ajah,Ward 2 Ajah,Street 8 Ward 2 Ajah,343362811,431,True
190,"Stewart, Chavez and Roach",Hospitality,Somolu,Ward 2 Somolu,Street 6 Ward 2 Somolu,497548746,238,False
191,Johnson-Stone,Hospitality,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 2 Ward 1 Amuwo-Odofin,298104714,38,True
192,Johnston-Mitchell,Finance,Somolu,Ward 1 Somolu,Street 3 Ward 1 Somolu,313039120,59,True
193,"Edwards, Wilson and Brady",Retail,Apapa,Ward 5 Apapa,Street 6 Ward 5 Apapa,344332319,15,True
194,"Wang, Kirk and Cherry",Real Estate,Eti-Osa,Ward 5 Eti-Osa,Street 6 Ward 5 Eti-Osa,5554976,211,False
195,Randolph-Gordon,Tech,Yaba,Ward 4 Yaba,Street 5 Ward 4 Yaba,45967763,231,True
196,"Wood, Watts and Wyatt",Real Estate,Epe,Ward 1 Epe,Street 8 Ward 1 Epe,275623947,410,True
197,"Mendoza, Mendoza and Farley",Retail,Apapa,Ward 2 Apapa,Street 6 Ward 2 Apapa,143958745,480,True
198,Leblanc-Hoover,Retail,Ajah,Ward 1 Ajah,Street 5 Ward 1 Ajah,249190251,294,True
199,Allen-Jones,Finance,Surulere,Ward 4 Surulere,Street 10 Ward 4 Surulere,334820108,165,True
200,Gallegos LLC,Transport,Mushin,Ward 2 Mushin,Street 2 Ward 2 Mushin,226871809,262,False
201,"Hill, Morgan and Lewis",Hospitality,Shomolu,Ward 3 Shomolu,Street 9 Ward 3 Shomolu,346502311,125,True
202,Gonzalez-Mcconnell,Manufacturing,Ikorodu,Ward 1 Ikorodu,Street 2 Ward 1 Ikorodu,370043408,422,False
203,"Beard, Wilcox and Rosales",Manufacturing,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 2 Ward 3 Amuwo-Odofin,460166166,298,False
204,Hickman-Carpenter,Tech,Surulere,Ward 5 Surulere,Street 1 Ward 5 Surulere,305403900,117,False
205,Lloyd Ltd,Real Estate,Agege,Ward 2 Agege,Street 10 Ward 2 Agege,355367915,499,False
206,"Daniels, Dawson and Ellis",Retail,Mushin,Ward 2 Mushin,Street 5 Ward 2 Mushin,364670684,466,False
207,Hernandez-Cherry,Transport,Victoria Island,Ward 3 Victoria Island,Street 7 Ward 3 Victoria Island,473536818,499,True
208,"Morgan, Johnson and Martinez",Tech,Alimosho,Ward 5 Alimosho,Street 7 Ward 5 Alimosho,403372506,54,False
209,Mendoza-Carr,Hospitality,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 5 Ward 3 Ifako-Ijaiye,436438234,17,False
210,Deleon-Lopez,Retail,Ikeja,Ward 4 Ikeja,Street 5 Ward 4 Ikeja,355958268,435,False
211,Juarez-Walker,Tech,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,279911408,320,False
212,"Moreno, Rodriguez and Scott",Manufacturing,Eti-Osa,Ward 3 Eti-Osa,Street 10 Ward 3 Eti-Osa,477579714,230,True
213,Hudson Inc,Retail,Alimosho,Ward 3 Alimosho,Street 6 Ward 3 Alimosho,375446797,174,False
214,"Smith, Sims and Smith",Retail,Eti-Osa,Ward 3 Eti-Osa,Street 10 Ward 3 Eti-Osa,138333661,132,False
215,Morgan-Mullen,Hospitality,Mushin,Ward 3 Mushin,Street 7 Ward 3 Mushin,196148031,493,True
216,Williamson Ltd,Retail,Shomolu,Ward 5 Shomolu,Street 4 Ward 5 Shomolu,337158409,126,True
217,"Rivera, Thomas and Martin",Transport,Victoria Island,Ward 5 Victoria Island,Street 5 Ward 5 Victoria Island,276447078,442,True
218,Hamilton-Gonzalez,Real Estate,Ajah,Ward 5 Ajah,Street 2 Ward 5 Ajah,338561959,410,False
219,Smith Group,Real Estate,Surulere,Ward 3 Surulere,Street 5 Ward 3 Surulere,113296796,121,False
220,Oconnor-Byrd,Tech,Ajah,Ward 4 Ajah,Street 7 Ward 4 Ajah,328061024,265,False
221,Alvarez and Sons,Manufacturing,Lekki,Ward 2 Lekki,Street 8 Ward 2 Lekki,181531371,5,True
222,Owens-Thornton,Tech,Badagry,Ward 1 Badagry,Street 5 Ward 1 Badagry,424588143,400,True
223,"King, Levine and Edwards",Hospitality,Mushin,Ward 3 Mushin,Street 8 Ward 3 Mushin,13016704,206,False
224,"Jones, Morris and Lopez",Real Estate,Epe,Ward 3 Epe,Street 9 Ward 3 Epe,404401196,189,False
225,Garcia and Sons,Manufacturing,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 2 Ward 4 Amuwo-Odofin,457732033,477,False
226,Palmer Inc,Real Estate,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 2 Ward 2 Amuwo-Odofin,111284428,315,False
227,Carpenter-Gonzalez,Retail,Ikeja,Ward 1 Ikeja,Street 5 Ward 1 Ikeja,189351359,323,False
