id,owner_id,lga,ward,street,property_type,estimated_value
21,21,Alimosho,Ward 5 Alimosho,Street 5 Ward 5 Alimosho,Commercial,9817287.93
22,22,Yaba,Ward 3 Yaba,Street 1 Ward 3 Yaba,Commercial,11142379.36
23,23,Badagry,Ward 2 Badagry,Street 7 Ward 2 Badagry,Commercial,20273474.1
24,24,Ikorodu,Ward 2 Ikorodu,Street 5 Ward 2 Ikorodu,Commercial,12672433.18
25,25,Surulere,Ward 5 Surulere,Street 5 Ward 5 Surulere,Commercial,4696068.75
26,26,Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,Commercial,25798627.21
27,27,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 8 Ward 3 Ifako-Ijaiye,Commercial,15921664.34
28,28,Surulere,Ward 5 Surulere,Street 3 Ward 5 Surulere,Residential,10538548.04
29,29,Ikorodu,Ward 2 Ikorodu,Street 6 Ward 2 Ikorodu,Commercial,9385680.6
30,30,Badagry,Ward 5 Badagry,Street 8 Ward 5 Badagry,Residential,13293404.38
31,31,Eti-Osa,Ward 5 Eti-Osa,Street 10 Ward 5 Eti-Osa,Commercial,20320425.71
32,32,Kosofe,Ward 2 Kosofe,Street 6 Ward 2 Kosofe,Residential,988769.46
33,33,Yaba,Ward 4 Yaba,Street 10 Ward 4 Yaba,Commercial,8231601.62
34,34,Epe,Ward 1 Epe,Street 7 Ward 1 Epe,Commercial,11543180.22
35,35,Mushin,Ward 2 Mushin,Street 4 Ward 2 Mushin,Residential,14929298.98
36,36,Somolu,Ward 3 Somolu,Street 2 Ward 3 Somolu,Commercial,5372580.17
37,37,Apapa,Ward 4 Apapa,Street 4 Ward 4 Apapa,Residential,5107452.83
38,38,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 6 Ward 4 Ifako-Ijaiye,Commercial,14098601.57
39,39,Agege,Ward 5 Agege,Street 6 Ward 5 Agege,Commercial,3636384.51
40,40,Badagry,Ward 5 Badagry,Street 4 Ward 5 Badagry,Commercial,10263428.89
41,41,Agege,Ward 2 Agege,Street 1 Ward 2 Agege,Commercial,13008628.24
42,42,Yaba,Ward 2 Yaba,Street 6 Ward 2 Yaba,Commercial,7001848.45
43,43,Kosofe,Ward 5 Kosofe,Street 9 Ward 5 Kosofe,Commercial,3330861.72
44,44,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 5 Ward 5 Amuwo-Odofin,Residential,1319537.56
45,45,Kosofe,Ward 3 Kosofe,Street 10 Ward 3 Kosofe,Residential,4997703.71
46,46,Badagry,Ward 4 Badagry,Street 5 Ward 4 Badagry,Residential,4275149.76
47,47,Yaba,Ward 4 Yaba,Street 10 Ward 4 Yaba,Residential,8013179.9
48,48,Apapa,Ward 5 Apapa,Street 2 Ward 5 Apapa,Commercial,4706080.87
49,49,Yaba,Ward 2 Yaba,Street 5 Ward 2 Yaba,Residential,21296591.27
50,50,Ikorodu,Ward 5 Ikorodu,Street 5 Ward 5 Ikorodu,Commercial,7562098.0
51,51,Somolu,Ward 3 Somolu,Street 1 Ward 3 Somolu,Residential,12171549.36
52,52,Apapa,Ward 1 Apapa,Street 10 Ward 1 Apapa,Residential,3624968.42
53,53,Victoria Island,Ward 2 Victoria Island,Street 1 Ward 2 Victoria Island,Residential,7382878.91
54,54,Lekki,Ward 3 Lekki,Street 6 Ward 3 Lekki,Residential,41300919.0
55,55,Lekki,Ward 4 Lekki,Street 9 Ward 4 Lekki,Residential,20510985.62
56,56,Kosofe,Ward 2 Kosofe,Street 8 Ward 2 Kosofe,Residential,10309711.47
57,57,Victoria Island,Ward 2 Victoria Island,Street 1 Ward 2 Victoria Island,Commercial,30904898.22
58,58,Eti-Osa,Ward 4 Eti-Osa,Street 2 Ward 4 Eti-Osa,Commercial,18401643.04
59,59,Epe,Ward 5 Epe,Street 4 Ward 5 Epe,Residential,7263033.46
60,60,Lekki,Ward 3 Lekki,Street 7 Ward 3 Lekki,Residential,42791913.71
61,61,Epe,Ward 4 Epe,Street 5 Ward 4 Epe,Commercial,7631765.0
62,62,Victoria Island,Ward 3 Victoria Island,Street 9 Ward 3 Victoria Island,Commercial,19990879.52
63,63,Surulere,Ward 1 Surulere,Street 2 Ward 1 Surulere,Residential,29600236.51
64,64,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 7 Ward 4 Ifako-Ijaiye,Residential,1089114.85
65,65,Agege,Ward 4 Agege,Street 8 Ward 4 Agege,Residential,9101048.44
66,66,Eti-Osa,Ward 2 Eti-Osa,Street 7 Ward 2 Eti-Osa,Residential,5588407.45
67,67,Badagry,Ward 3 Badagry,Street 4 Ward 3 Badagry,Residential,11969121.28
68,68,Shomolu,Ward 2 Shomolu,Street 2 Ward 2 Shomolu,Commercial,6981564.94
69,69,Somolu,Ward 4 Somolu,Street 9 Ward 4 Somolu,Residential,25956954.64
70,70,Eti-Osa,Ward 4 Eti-Osa,Street 2 Ward 4 Eti-Osa,Commercial,31009414.06
71,71,Ikeja,Ward 4 Ikeja,Street 7 Ward 4 Ikeja,Residential,23228993.89
72,72,Surulere,Ward 3 Surulere,Street 4 Ward 3 Surulere,Commercial,14936669.42
73,73,Agege,Ward 5 Agege,Street 9 Ward 5 Agege,Residential,5736864.08
74,74,Apapa,Ward 3 Apapa,Street 3 Ward 3 Apapa,Residential,19216403.92
75,75,Lekki,Ward 5 Lekki,Street 8 Ward 5 Lekki,Residential,30163362.27
76,76,Epe,Ward 1 Epe,Street 6 Ward 1 Epe,Commercial,17147659.29
77,77,Lekki,Ward 2 Lekki,Street 6 Ward 2 Lekki,Commercial,29156015.21
78,78,Alimosho,Ward 2 Alimosho,Street 8 Ward 2 Alimosho,Residential,8117679.96
79,79,Ikeja,Ward 5 Ikeja,Street 3 Ward 5 Ikeja,Commercial,20503109.57
80,80,Ikorodu,Ward 1 Ikorodu,Street 1 Ward 1 Ikorodu,Residential,3203461.59
81,81,Agege,Ward 3 Agege,Street 2 Ward 3 Agege,Commercial,8088128.82
82,82,Victoria Island,Ward 3 Victoria Island,Street 6 Ward 3 Victoria Island,Commercial,36706267.2
83,83,Badagry,Ward 4 Badagry,Street 1 Ward 4 Badagry,Commercial,21868279.54
84,84,Shomolu,Ward 1 Shomolu,Street 10 Ward 1 Shomolu,Commercial,3325442.92
85,85,Lekki,Ward 5 Lekki,Street 4 Ward 5 Lekki,Commercial,25817015.98
86,86,Alimosho,Ward 1 Alimosho,Street 4 Ward 1 Alimosho,Commercial,2667003.77
87,87,Apapa,Ward 5 Apapa,Street 10 Ward 5 Apapa,Commercial,11733611.24
88,88,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 3 Ward 1 Oshodi-Isolo,Commercial,4841801.58
89,89,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 7 Ward 5 Oshodi-Isolo,Residential,11046321.9
90,90,Kosofe,Ward 2 Kosofe,Street 7 Ward 2 Kosofe,Commercial,10377801.45
91,91,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 9 Ward 3 Amuwo-Odofin,Commercial,7899404.51
92,92,Apapa,Ward 5 Apapa,Street 7 Ward 5 Apapa,Residential,21778195.77
93,93,Agege,Ward 5 Agege,Street 1 Ward 5 Agege,Commercial,7283718.01
94,94,Shomolu,Ward 3 Shomolu,Street 5 Ward 3 Shomolu,Commercial,13986554.87
95,95,Ikeja,Ward 3 Ikeja,Street 7 Ward 3 Ikeja,Residential,14048406.3
96,96,Agege,Ward 5 Agege,Street 2 Ward 5 Agege,Commercial,15220873.4
97,97,Somolu,Ward 3 Somolu,Street 1 Ward 3 Somolu,Residential,15785967.22
98,98,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 4 Ward 5 Amuwo-Odofin,Residential,11339913.34
99,99,Ajah,Ward 5 Ajah,Street 7 Ward 5 Ajah,Residential,23187207.12
100,100,Shomolu,Ward 5 Shomolu,Street 10 Ward 5 Shomolu,Residential,14857011.65
101,101,Surulere,Ward 5 Surulere,Street 2 Ward 5 Surulere,Commercial,10432308.24
102,102,Shomolu,Ward 4 Shomolu,Street 2 Ward 4 Shomolu,Commercial,7810668.44
103,103,Shomolu,Ward 5 Shomolu,Street 1 Ward 5 Shomolu,Residential,11723660.48
104,104,Apapa,Ward 4 Apapa,Street 5 Ward 4 Apapa,Residential,1592598.55
105,105,Lekki,Ward 3 Lekki,Street 5 Ward 3 Lekki,Commercial,13568920.84
106,106,Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,Residential,7130512.59
107,107,Eti-Osa,Ward 4 Eti-Osa,Street 9 Ward 4 Eti-Osa,Residential,2068018.24
108,108,Agege,Ward 5 Agege,Street 4 Ward 5 Agege,Residential,4602005.5
109,109,Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,Commercial,14459269.86
110,110,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 9 Ward 4 Ifako-Ijaiye,Residential,13691126.22
111,111,Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,Commercial,3554959.42
112,112,Shomolu,Ward 1 Shomolu,Street 1 Ward 1 Shomolu,Commercial,3339971.7
113,113,Kosofe,Ward 5 Kosofe,Street 3 Ward 5 Kosofe,Residential,1104852.31
114,114,Victoria Island,Ward 5 Victoria Island,Street 9 Ward 5 Victoria Island,Commercial,9380921.64
115,115,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 7 Ward 4 Ifako-Ijaiye,Residential,14088795.0
116,116,Surulere,Ward 5 Surulere,Street 6 Ward 5 Surulere,Commercial,14468431.73
117,117,Ikeja,Ward 2 Ikeja,Street 9 Ward 2 Ikeja,Commercial,27139785.7
118,118,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,Commercial,13674416.95
119,119,Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,Residential,15763460.7
120,120,Agege,Ward 5 Agege,Street 8 Ward 5 Agege,Commercial,5741221.05
121,121,Surulere,Ward 2 Surulere,Street 3 Ward 2 Surulere,Residential,12333646.84
122,122,Lekki,Ward 1 Lekki,Street 1 Ward 1 Lekki,Residential,22371621.12
123,123,Kosofe,Ward 5 Kosofe,Street 4 Ward 5 Kosofe,Residential,18333011.42
124,124,Shomolu,Ward 1 Shomolu,Street 5 Ward 1 Shomolu,Residential,17735700.31
125,125,Ikorodu,Ward 5 Ikorodu,Street 2 Ward 5 Ikorodu,Commercial,11465774.54
126,126,Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,Commercial,13225469.94
127,127,Epe,Ward 3 Epe,Street 5 Ward 3 Epe,Residential,16990944.17
128,128,Alimosho,Ward 2 Alimosho,Street 2 Ward 2 Alimosho,Commercial,8543662.27
129,129,Victoria Island,Ward 2 Victoria Island,Street 5 Ward 2 Victoria Island,Residential,30929709.57
130,130,Shomolu,Ward 4 Shomolu,Street 5 Ward 4 Shomolu,Residential,6688029.71
131,131,Mushin,Ward 1 Mushin,Street 1 Ward 1 Mushin,Commercial,23753244.26
132,132,Ajah,Ward 2 Ajah,Street 3 Ward 2 Ajah,Residential,7718032.72
133,133,Somolu,Ward 1 Somolu,Street 4 Ward 1 Somolu,Commercial,7735237.81
134,134,Badagry,Ward 3 Badagry,Street 8 Ward 3 Badagry,Commercial,3815273.75
135,135,Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,Commercial,8753179.16
136,136,Ajah,Ward 2 Ajah,Street 4 Ward 2 Ajah,Commercial,18509103.61
137,137,Ikorodu,Ward 2 Ikorodu,Street 5 Ward 2 Ikorodu,Commercial,13562957.72
138,138,Somolu,Ward 2 Somolu,Street 10 Ward 2 Somolu,Commercial,3240426.88
139,139,Agege,Ward 4 Agege,Street 1 Ward 4 Agege,Residential,3335371.65
140,140,Yaba,Ward 2 Yaba,Street 1 Ward 2 Yaba,Commercial,8424974.5
141,141,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 2 Ward 4 Oshodi-Isolo,Commercial,5320524.44
142,142,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 8 Ward 1 Ifako-Ijaiye,Residential,24171238.89
143,143,Ikeja,Ward 2 Ikeja,Street 8 Ward 2 Ikeja,Residential,33154053.53
144,144,Ikorodu,Ward 4 Ikorodu,Street 7 Ward 4 Ikorodu,Commercial,7033796.86
145,145,Epe,Ward 1 Epe,Street 7 Ward 1 Epe,Residential,14642216.36
146,146,Mushin,Ward 1 Mushin,Street 5 Ward 1 Mushin,Residential,2206705.5
147,147,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 8 Ward 2 Amuwo-Odofin,Commercial,25063284.7
148,148,Ikorodu,Ward 3 Ikorodu,Street 8 Ward 3 Ikorodu,Commercial,9826086.4
149,149,Surulere,Ward 5 Surulere,Street 5 Ward 5 Surulere,Residential,15628385.11
150,150,Lekki,Ward 2 Lekki,Street 7 Ward 2 Lekki,Residential,45445344.35
151,151,Ajah,Ward 3 Ajah,Street 2 Ward 3 Ajah,Residential,11209904.51
152,152,Apapa,Ward 5 Apapa,Street 7 Ward 5 Apapa,Residential,5719382.59
153,153,Somolu,Ward 4 Somolu,Street 4 Ward 4 Somolu,Commercial,23260083.48
154,154,Badagry,Ward 4 Badagry,Street 6 Ward 4 Badagry,Residential,6756047.72
155,155,Apapa,Ward 2 Apapa,Street 3 Ward 2 Apapa,Commercial,4917190.53
156,156,Yaba,Ward 4 Yaba,Street 5 Ward 4 Yaba,Commercial,11809614.09
157,157,Agege,Ward 3 Agege,Street 4 Ward 3 Agege,Commercial,615204.7
158,158,Lekki,Ward 5 Lekki,Street 4 Ward 5 Lekki,Commercial,19362478.21
159,159,Surulere,Ward 5 Surulere,Street 6 Ward 5 Surulere,Residential,1915100.65
160,160,Alimosho,Ward 2 Alimosho,Street 4 Ward 2 Alimosho,Commercial,8817403.22
161,161,Epe,Ward 3 Epe,Street 2 Ward 3 Epe,Residential,9175953.53
162,162,Shomolu,Ward 4 Shomolu,Street 8 Ward 4 Shomolu,Commercial,11140270.09
163,163,Yaba,Ward 5 Yaba,Street 7 Ward 5 Yaba,Commercial,20355698.89
164,164,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 8 Ward 5 Oshodi-Isolo,Commercial,2717757.96
165,165,Epe,Ward 2 Epe,Street 5 Ward 2 Epe,Residential,16184700.44
166,166,Badagry,Ward 4 Badagry,Street 5 Ward 4 Badagry,Commercial,1645689.58
167,167,Victoria Island,Ward 4 Victoria Island,Street 3 Ward 4 Victoria Island,Residential,23199945.55
168,168,Ikorodu,Ward 3 Ikorodu,Street 8 Ward 3 Ikorodu,Commercial,1563388.56
169,169,Alimosho,Ward 1 Alimosho,Street 5 Ward 1 Alimosho,Commercial,12921092.62
170,170,Yaba,Ward 5 Yaba,Street 2 Ward 5 Yaba,Commercial,22646385.18
171,171,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 6 Ward 3 Ifako-Ijaiye,Residential,8907819.05
172,172,Ikorodu,Ward 1 Ikorodu,Street 3 Ward 1 Ikorodu,Residential,7212608.09
173,173,Epe,Ward 3 Epe,Street 2 Ward 3 Epe,Commercial,15016275.39
174,174,Ajah,Ward 4 Ajah,Street 7 Ward 4 Ajah,Residential,8321410.97
175,175,Kosofe,Ward 5 Kosofe,Street 2 Ward 5 Kosofe,Commercial,23405539.32
176,176,Epe,Ward 3 Epe,Street 4 Ward 3 Epe,Residential,13043363.91
177,177,Ikeja,Ward 2 Ikeja,Street 1 Ward 2 Ikeja,Commercial,9763290.11
178,178,Surulere,Ward 2 Surulere,Street 3 Ward 2 Surulere,Commercial,14827200.14
179,179,Ikorodu,Ward 1 Ikorodu,Street 1 Ward 1 Ikorodu,Residential,4241489.99
180,180,Badagry,Ward 4 Badagry,Street 9 Ward 4 Badagry,Residential,4759260.04
181,181,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 1 Ward 3 Ifako-Ijaiye,Residential,10734410.52
182,182,Epe,Ward 5 Epe,Street 4 Ward 5 Epe,Residential,2767042.02
183,183,Agege,Ward 3 Agege,Street 2 Ward 3 Agege,Residential,12709550.49
184,184,Lekki,Ward 3 Lekki,Street 2 Ward 3 Lekki,Residential,19396572.42
185,185,Mushin,Ward 1 Mushin,Street 1 Ward 1 Mushin,Commercial,13656290.39
186,186,Alimosho,Ward 2 Alimosho,Street 3 Ward 2 Alimosho,Commercial,3053523.3
187,187,Eti-Osa,Ward 5 Eti-Osa,Street 6 Ward 5 Eti-Osa,Commercial,2940284.61
188,188,Ikeja,Ward 2 Ikeja,Street 7 Ward 2 Ikeja,Residential,22543032.48
189,189,Mushin,Ward 5 Mushin,Street 3 Ward 5 Mushin,Residential,14151236.6
190,190,Mushin,Ward 1 Mushin,Street 1 Ward 1 Mushin,Commercial,8503696.01
191,191,Victoria Island,Ward 5 Victoria Island,Street 3 Ward 5 Victoria Island,Residential,31163140.4
192,192,Badagry,Ward 3 Badagry,Street 10 Ward 3 Badagry,Commercial,6639784.76
193,193,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 2 Ward 3 Ifako-Ijaiye,Residential,16516311.01
194,194,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 5 Ward 2 Ifako-Ijaiye,Commercial,18115487.27
195,195,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 10 Ward 2 Oshodi-Isolo,Commercial,12297799.29
196,196,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 2 Ward 5 Amuwo-Odofin,Residential,10666025.87
197,197,Eti-Osa,Ward 5 Eti-Osa,Street 2 Ward 5 Eti-Osa,Residential,41040009.4
198,198,Ikorodu,Ward 4 Ikorodu,Street 1 Ward 4 Ikorodu,Commercial,1348539.27
199,199,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 4 Ward 2 Amuwo-Odofin,Commercial,18258010.4
200,200,Alimosho,Ward 3 Alimosho,Street 1 Ward 3 Alimosho,Residential,8939112.71
201,201,Yaba,Ward 5 Yaba,Street 2 Ward 5 Yaba,Commercial,15422163.56
202,202,Alimosho,Ward 2 Alimosho,Street 10 Ward 2 Alimosho,Commercial,9536991.24
203,203,Lekki,Ward 2 Lekki,Street 1 Ward 2 Lekki,Commercial,64565568.08
204,204,Ikeja,Ward 5 Ikeja,Street 3 Ward 5 Ikeja,Residential,21386932.97
205,205,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 1 Ward 3 Ifako-Ijaiye,Residential,3543168.97
206,206,Agege,Ward 2 Agege,Street 1 Ward 2 Agege,Commercial,10003895.3
207,207,Victoria Island,Ward 2 Victoria Island,Street 2 Ward 2 Victoria Island,Commercial,24849426.16
208,208,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 7 Ward 1 Ifako-Ijaiye,Residential,9462596.9
209,209,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 8 Ward 2 Oshodi-Isolo,Commercial,14967530.87
210,210,Epe,Ward 3 Epe,Street 1 Ward 3 Epe,Commercial,2556206.83
211,211,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 1 Ward 1 Ifako-Ijaiye,Commercial,1799572.53
212,212,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 5 Ward 2 Ifako-Ijaiye,Residential,6127530.99
213,213,Shomolu,Ward 2 Shomolu,Street 4 Ward 2 Shomolu,Commercial,4761247.16
214,214,Agege,Ward 2 Agege,Street 6 Ward 2 Agege,Commercial,1548555.88
215,215,Somolu,Ward 2 Somolu,Street 8 Ward 2 Somolu,Commercial,15684908.38
216,216,Badagry,Ward 2 Badagry,Street 8 Ward 2 Badagry,Commercial,18591526.73
217,217,Ikeja,Ward 1 Ikeja,Street 6 Ward 1 Ikeja,Commercial,5451681.86
218,218,Badagry,Ward 1 Badagry,Street 10 Ward 1 Badagry,Residential,12948946.88
219,219,Shomolu,Ward 3 Shomolu,Street 8 Ward 3 Shomolu,Residential,17055355.35
220,220,Somolu,Ward 4 Somolu,Street 2 Ward 4 Somolu,Commercial,5997692.74
221,221,Ikorodu,Ward 2 Ikorodu,Street 9 Ward 2 Ikorodu,Residential,4935705.03
222,222,Lekki,Ward 4 Lekki,Street 9 Ward 4 Lekki,Residential,5775543.43
223,223,Ikeja,Ward 4 Ikeja,Street 4 Ward 4 Ikeja,Residential,26505734.63
224,224,Eti-Osa,Ward 4 Eti-Osa,Street 7 Ward 4 Eti-Osa,Commercial,23330420.96
225,225,Surulere,Ward 4 Surulere,Street 4 Ward 4 Surulere,Commercial,18079265.86
226,226,Surulere,Ward 1 Surulere,Street 8 Ward 1 Surulere,Commercial,1588075.52
227,227,Ikorodu,Ward 3 Ikorodu,Street 8 Ward 3 Ikorodu,Commercial,13635612.83
228,228,Kosofe,Ward 4 Kosofe,Street 4 Ward 4 Kosofe,Commercial,8200727.9
229,229,Somolu,Ward 4 Somolu,Street 2 Ward 4 Somolu,Residential,8649096.93
230,230,Lekki,Ward 1 Lekki,Street 3 Ward 1 Lekki,Residential,8272665.99
231,231,Apapa,Ward 1 Apapa,Street 3 Ward 1 Apapa,Residential,5052873.77
232,232,Lekki,Ward 3 Lekki,Street 7 Ward 3 Lekki,Commercial,56269642.36
233,233,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 7 Ward 1 Ifako-Ijaiye,Residential,3208963.36
234,234,Badagry,Ward 4 Badagry,Street 5 Ward 4 Badagry,Residential,3597518.44
235,235,Victoria Island,Ward 3 Victoria Island,Street 3 Ward 3 Victoria Island,Commercial,40707179.32
236,236,Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,Commercial,8628901.95
237,237,Mushin,Ward 2 Mushin,Street 4 Ward 2 Mushin,Commercial,23525160.79
238,238,Kosofe,Ward 5 Kosofe,Street 1 Ward 5 Kosofe,Residential,9218336.75
239,239,Somolu,Ward 5 Somolu,Street 4 Ward 5 Somolu,Residential,8933288.14
240,240,Ajah,Ward 1 Ajah,Street 5 Ward 1 Ajah,Residential,9819665.17
241,241,Agege,Ward 3 Agege,Street 1 Ward 3 Agege,Commercial,15060352.21
242,242,Victoria Island,Ward 5 Victoria Island,Street 3 Ward 5 Victoria Island,Residential,12369101.48
243,243,Badagry,Ward 3 Badagry,Street 3 Ward 3 Badagry,Residential,12461668.31
244,244,Surulere,Ward 3 Surulere,Street 6 Ward 3 Surulere,Commercial,10318442.41
245,245,Badagry,Ward 1 Badagry,Street 4 Ward 1 Badagry,Commercial,10829474.9
246,246,Kosofe,Ward 4 Kosofe,Street 8 Ward 4 Kosofe,Residential,719836.38
247,247,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,Commercial,8297005.94
248,248,Alimosho,Ward 5 Alimosho,Street 1 Ward 5 Alimosho,Commercial,3679279.19
249,249,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,Residential,4805753.87
250,250,Ajah,Ward 1 Ajah,Street 4 Ward 1 Ajah,Residential,8348157.55
251,251,Ikorodu,Ward 5 Ikorodu,Street 4 Ward 5 Ikorodu,Commercial,5355292.37
252,252,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 9 Ward 5 Ifako-Ijaiye,Commercial,5029104.01
253,253,Shomolu,Ward 2 Shomolu,Street 3 Ward 2 Shomolu,Commercial,6645253.53
254,254,Lekki,Ward 3 Lekki,Street 1 Ward 3 Lekki,Commercial,22616668.56
255,255,Badagry,Ward 2 Badagry,Street 9 Ward 2 Badagry,Commercial,16960790.44
256,256,Badagry,Ward 2 Badagry,Street 8 Ward 2 Badagry,Commercial,16900227.11
257,257,Kosofe,Ward 4 Kosofe,Street 9 Ward 4 Kosofe,Residential,13804269.24
258,258,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 7 Ward 2 Oshodi-Isolo,Commercial,9422149.59
259,259,Mushin,Ward 3 Mushin,Street 1 Ward 3 Mushin,Residential,18844391.17
260,260,Shomolu,Ward 4 Shomolu,Street 4 Ward 4 Shomolu,Residential,18496325.14
261,261,Victoria Island,Ward 5 Victoria Island,Street 4 Ward 5 Victoria Island,Commercial,33596040.72
262,262,Epe,Ward 3 Epe,Street 6 Ward 3 Epe,Residential,7669676.59
263,263,Ajah,Ward 3 Ajah,Street 2 Ward 3 Ajah,Residential,8397926.63
264,264,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 3 Ward 3 Ifako-Ijaiye,Residential,2407085.14
265,265,Epe,Ward 4 Epe,Street 1 Ward 4 Epe,Residential,7787138.8
266,266,Somolu,Ward 3 Somolu,Street 9 Ward 3 Somolu,Commercial,7612992.93
267,267,Somolu,Ward 3 Somolu,Street 2 Ward 3 Somolu,Commercial,3463555.49
268,268,Ikorodu,Ward 3 Ikorodu,Street 8 Ward 3 Ikorodu,Commercial,1891315.2
269,269,Epe,Ward 4 Epe,Street 8 Ward 4 Epe,Commercial,3250137.82
270,270,Somolu,Ward 2 Somolu,Street 3 Ward 2 Somolu,Commercial,1512364.77
271,271,Apapa,Ward 1 Apapa,Street 2 Ward 1 Apapa,Residential,17696772.19
272,272,Surulere,Ward 3 Surulere,Street 6 Ward 3 Surulere,Residential,10869135.62
273,273,Surulere,Ward 2 Surulere,Street 1 Ward 2 Surulere,Residential,15632561.72
274,274,Ikeja,Ward 4 Ikeja,Street 5 Ward 4 Ikeja,Residential,27260065.84
275,275,Eti-Osa,Ward 3 Eti-Osa,Street 10 Ward 3 Eti-Osa,Commercial,35054298.1
276,276,Lekki,Ward 3 Lekki,Street 4 Ward 3 Lekki,Commercial,2667677.2
277,277,Shomolu,Ward 3 Shomolu,Street 7 Ward 3 Shomolu,Commercial,12017884.47
278,278,Yaba,Ward 5 Yaba,Street 2 Ward 5 Yaba,Commercial,7132104.31
